NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP,smog_data,it_has_next_page,pages_total
SZKOŁA PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH, UL. SZKOLNA, 63-522, KRASZEWICE,18.22403,51.51563, 0.1, 1002.1999999999999, 0.0,24.33333333333333,14.856666666666667, 2026-07-17 12:43:58,,,
SZKOŁA PODSTAWOWA WE WRZĄSOWICACH, UL. SZKOLNA, 32-040, WRZĄSOWICE,19.94282,49.96103, 39.108333333333334, 977.0166666666668, 33.550000000000004,9.241666666666667,8.275, 2026-07-17 12:43:58,,,
ZESPÓŁ SZKÓŁ NR 1 W PSZCZYNIE, UL. KAZIMIERZA WIELKIEGO, 43-200, PSZCZYNA,18.9457058,49.965883, 49.666666666666664, 998.1333333333333, 30.333333333333332,9.5,4.92, 2026-07-17 12:43:58,,,
ZESPÓŁ SZKÓŁ IM. POWSTAŃCÓW WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM, SZKOLNA, 63-421, JANKÓW PRZYGODZKI,17.7889069,51.596172, 99.90000000000002, 992.4, 16.4,21.3,11.15, 2026-07-17 12:43:58,,,
SZKOŁA PODSTAWOWA NR 7 IM. ŻOŁNIERZY WRZEŚNIA W ĆWIKLICACH, UL. MĘCZENNIKÓW OŚWIĘCIMSKICH, 43-229, ĆWIKLICE,18.989839,49.971937, 40.5, 983.1333333333333, 38.0,5.933333333333335,3.41, 2026-07-17 12:43:58,,,
SZKOŁA PODSTAWOWA NR 12 W STUDZIONCE, UL. JORDANA, 43-245, STUDZIONKA,18.774985,49.9603559, 51.70000000000001, 989.8333333333334, 29.0,11.3,6.763333333333333, 2026-07-17 12:43:58,,,
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W PIASKU, SZKOLNA, 43-211, PIASEK,18.94634,50.00955, 47.23333333333333, 992.7333333333332, 30.933333333333334,10.866666666666667,6.276666666666666, 2026-07-17 12:43:58,,,
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁĄCE, FITELBERGA, 43-241, ŁĄKA,18.906757,49.9582444, 56.76666666666667, 988.5666666666666, 31.433333333333334,7.566666666666666,4.323333333333333, 2026-07-17 12:43:58,,,
SZKOŁA PODSTAWOWA NR 3 W LUBONIU, ARMII POZNAŃ, 62-030, LUBOŃ,16.8968,52.3481, 52.86666666666667, 989.6999999999999, 31.666666666666668,10.1,5.546666666666667, 2026-07-17 12:43:58,,,
ZESPÓŁ SZKÓŁ PONADGIMNAZJALNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO W PRZYGODZICACH, PTR, 63-421, PRZYGODZICE,17.822685,51.59023, 46.1, 1006.8333333333334, 30.0,6.766666666666668,3.449999999999999, 2026-07-17 12:43:58,,,
